series_id,reading_id,wavelength_nm,value
pr655,repeat_01,380,0.00027200000499999998
pr655,repeat_01,384,0.00028569999299999998
pr655,repeat_01,388,0.000280200009
pr655,repeat_01,392,0.00029249998600000001
pr655,repeat_01,396,0.00046420001300000001
pr655,repeat_01,400,0.00125500001
pr655,repeat_01,404,0.0033720000600000002
pr655,repeat_01,408,0.0068669999000000002
pr655,repeat_01,412,0.012090000300000001
pr655,repeat_01,416,0.017009999599999999
pr655,repeat_01,420,0.021090000899999999
pr655,repeat_01,424,0.024649999999999998
pr655,repeat_01,428,0.025650000199999998
pr655,repeat_01,432,0.027540000200000001
pr655,repeat_01,436,0.030190000299999999
pr655,repeat_01,440,0.0287699997
pr655,repeat_01,444,0.0280099995
pr655,repeat_01,448,0.027860000699999998
pr655,repeat_01,452,0.028780000300000001
pr655,repeat_01,456,0.0311299991
pr655,repeat_01,460,0.033390000500000003
pr655,repeat_01,464,0.0339699984
pr655,repeat_01,468,0.033590000100000003
pr655,repeat_01,472,0.033319998500000003
pr655,repeat_01,476,0.032760001699999999
pr655,repeat_01,480,0.032239999599999999
pr655,repeat_01,484,0.031750001
pr655,repeat_01,488,0.032900001900000003
pr655,repeat_01,492,0.033890001500000003
pr655,repeat_01,496,0.034570001099999997
pr655,repeat_01,500,0.035890001800000002
pr655,repeat_01,504,0.038410000499999999
pr655,repeat_01,508,0.037360001400000002
pr655,repeat_01,512,0.035840001000000003
pr655,repeat_01,516,0.036019999499999997
pr655,repeat_01,520,0.035829998600000003
pr655,repeat_01,524,0.035700000799999999
pr655,repeat_01,528,0.039220001499999997
pr655,repeat_01,532,0.053970001599999998
pr655,repeat_01,536,0.076020002399999995
pr655,repeat_01,540,0.0745600015
pr655,repeat_01,544,0.061650000500000003
pr655,repeat_01,548,0.0502200015
pr655,repeat_01,552,0.040950000299999997
pr655,repeat_01,556,0.0403800011
pr655,repeat_01,560,0.042780000700000001
pr655,repeat_01,564,0.047850001599999997
pr655,repeat_01,568,0.052319999800000003
pr655,repeat_01,572,0.048790000399999998
pr655,repeat_01,576,0.047279998699999999
pr655,repeat_01,580,0.0472400002
pr655,repeat_01,584,0.051339998800000002
pr655,repeat_01,588,0.058479998300000002
pr655,repeat_01,592,0.074709996599999995
pr655,repeat_01,596,0.081330001400000004
pr655,repeat_01,600,0.072729997300000002
pr655,repeat_01,604,0.064120002100000004
pr655,repeat_01,608,0.064290001999999999
pr655,repeat_01,612,0.066459998500000006
pr655,repeat_01,616,0.061569999899999998
pr655,repeat_01,620,0.054930001499999999
pr655,repeat_01,624,0.0534199998
pr655,repeat_01,628,0.053569998600000002
pr655,repeat_01,632,0.051460001599999999
pr655,repeat_01,636,0.050919998399999999
pr655,repeat_01,640,0.050469998299999999
pr655,repeat_01,644,0.051029998799999997
pr655,repeat_01,648,0.048280000699999999
pr655,repeat_01,652,0.044289998699999999
pr655,repeat_01,656,0.045460000600000001
pr655,repeat_01,660,0.045439999600000003
pr655,repeat_01,664,0.0435900018
pr655,repeat_01,668,0.041529998200000001
pr655,repeat_01,672,0.039439998599999998
pr655,repeat_01,676,0.038910001499999999
pr655,repeat_01,680,0.039119999900000001
pr655,repeat_01,684,0.039500001799999997
pr655,repeat_01,688,0.0339299999
pr655,repeat_01,692,0.030670000199999999
pr655,repeat_01,696,0.0295499992
pr655,repeat_01,700,0.026869999200000001
pr655,repeat_01,704,0.023700000700000001
pr655,repeat_01,708,0.021619999800000001
pr655,repeat_01,712,0.020819999299999999
pr655,repeat_01,716,0.019880000500000002
pr655,repeat_01,720,0.019090000499999999
pr655,repeat_01,724,0.0184199996
pr655,repeat_01,728,0.01719
pr655,repeat_01,732,0.016170000699999999
pr655,repeat_01,736,0.015729999200000001
pr655,repeat_01,740,0.015850000100000001
pr655,repeat_01,744,0.01559
pr655,repeat_01,748,0.0161400009
pr655,repeat_01,752,0.017790000899999998
pr655,repeat_01,756,0.0211800002
pr655,repeat_01,760,0.020269999300000001
pr655,repeat_01,764,0.018859999299999999
pr655,repeat_01,768,0.019600000199999999
pr655,repeat_01,772,0.01908
pr655,repeat_01,776,0.016499999899999999
pr655,repeat_01,780,0.0146300001
pr655,repeat_02,380,0.00022289999499999999
pr655,repeat_02,384,0.00018499999700000001
