group_id,repeat_index,canonical_path,sha256,alias_paths
reference_prd,1,Old/prd/prd_1.mat,d8bda2ff5638a5a5c59dad01e84cabb152820e43da8a06644ff69ab064293517,
reference_prd,2,Old/prd/prd_2.mat,5404d3ab8c1d29725ff6c40a82c83389a753e3a874b57bac23f2eee7bfb6a711,
scene_01,1,PRD measurments/PRD_01.mat,0a5b2a41c076c146b5e078d13b196da7c907bff6b7e6332c09ca65e338868246,PRD measurments copy/PRD1scene1.mat
scene_01,2,PRD measurments/PRD_02.mat,992a8f21c6384226d607c008e5d204279fd28cacdf3d85fccfc8f0a33f29abfa,PRD measurments copy/PRD2scene1.mat
scene_02,1,PRD measurments/PRD_03.mat,e1c58b4ef0ace5bbd771a0aa4f8ad4d46b7140a9c1c94b8344ba0bce5ce90b68,PRD measurments copy/PRD1scene2.mat
scene_02,2,PRD measurments/PRD_04.mat,75c05bf5752ae71dcd0ead55b6a24c29f502e3dc06bbe51e4b51c3f25ec9ea9f,PRD measurments copy/PRD2scene2.mat
scene_03,1,PRD measurments/PRD_05.mat,c8a8b610a81da303f850db57c3007fd70e054d46dc55e07484791343308b7acd,PRD measurments copy/PRD1scene3.mat
scene_03,2,PRD measurments/PRD_06.mat,700f3cecb4ec559b57243aa9ffd296d0ebf636f87122eac2515ca1dd70955132,PRD measurments copy/PRD2scene3.mat
scene_04,1,PRD measurments/PRD_07.mat,508abe76a74c55fd67c6122c55588fc5aab78f7c119ac64650e0b48d6e901729,PRD measurments copy/PRD1scene4.mat
scene_04,2,PRD measurments/PRD_08.mat,48b211b8413b970b6211144e995e5de82dfdb74508e6d6710ea9581dfe875a10,PRD measurments copy/PRD2scene4.mat
scene_05,1,PRD measurments/PRD_09.mat,6a4551a0bda7506f33943a164030397f0f62b95138a5a2d3bb67482128a53f8d,PRD measurments copy/PRD1scene5.mat
scene_05,2,PRD measurments/PRD_10.mat,21f5aeecc2a448ec64a433c4cb2ece3725c2b84ee710e0bef96e3aea36e55ec5,PRD measurments copy/PRD2scene5.mat
scene_06,1,PRD measurments/PRD_11.mat,f38afbe91b1f244a74c87a137c06de914c2916e509a9c896a764851dc0221700,PRD measurments copy/PRD1scene6.mat
scene_06,2,PRD measurments/PRD_12.mat,0497bf3339bd1b9f4ba8eb7a6f7242d0f46881bbde13633d3f7843066fa7076b,PRD measurments copy/PRD2scene6.mat
scene_07,1,PRD measurments/PRD_13.mat,53b3e6a7e0c88e7b1df93c32c27c35251e7d749859eb6a0c9898b19b63b328a5,PRD measurments copy/PRD1scene7.mat
scene_07,2,PRD measurments/PRD_14.mat,ad7dcb73617b444b631b42ec5224a34e289bf15102cb30b231668667e6dfc26c,PRD measurments copy/PRD2scene7.mat
scene_08,1,PRD measurments/PRD_15.mat,d2bf4103a9b179ac94deb51b3fc870402a592b315bdd193b46be3156ceb3f681,PRD measurments copy/PRD1scene8.mat
scene_08,2,PRD measurments/PRD_16.mat,ebe61319e349fad7b1a07d1998c79a95fb395ab52fb7527d4e5b7bdf0fd00c23,PRD measurments copy/PRD2scene8.mat
scene_09,1,PRD measurments/PRD_17.mat,8c0d17034c71e4a04e569ad86b05379c2a739866e2c6cf9f080d44d9018cbbb0,PRD measurments copy/PRD1scene9.mat
scene_09,2,PRD measurments/PRD_18.mat,b4f4347ef66113a0ed0ad5e2b67392c65e1092880d9cfe010bfd157035100082,PRD measurments copy/PRD2scene9.mat
scene_10,1,PRD measurments/PRD_19.mat,e6a1386829895818e8caba259516bc946c500dce6df7e6dcab8e02a21e6c4594,PRD measurments copy/PRD1scene10.mat
