Wavelength (nm),Power
380,32.584
390,38.087
400,60.949
410,68.554
420,71.577
430,67.914
440,85.605
450,97.993
460,100.463
470,99.913
480,102.739
490,98.078
500,100.680
510,100.695
520,99.987
530,104.210
540,102.102
550,102.968
560,100.000
570,97.216
580,97.749
590,91.432
600,94.419
610,95.140
620,94.220
630,90.448
640,92.330
650,88.854
660,90.317
670,93.950
680,89.956
690,79.677
700,82.840
710,84.844
720,70.235
730,79.301
